Search Term,Tweet Text,URL
Guatemala,"@VelascoM_ destacÃ_ la estrecha relaciÃ_n que se mantiene con el vecino paÃ_s Guatemalahttps://t.co/xzsGqDUzMq",http://www.sdpnoticias.com/local/chiapas/2017/02/13/chiapas-fortalece-vinculos-con-guatemala
Guatemala,"DÃ_a #9: Adorando a la virgen #Miguel #setlife @ Antigua Guatemala,â€_ https://t.co/FqLCIxnjAf",https://www.instagram.com/p/BRWsGTXhf_gvwidGKcc62euCBsbZSfa9Beoxms0/
Guatemala,Funcionario antinarcÃ_tico de EEUU ratifica apoyo a Guatemala    https://t.co/gy0dch05ZX,https://www.youtube.com/watch?v=9euy1X5-BiE
Guatemala,"[EFE] â’¸â’¸â†ª GUATEMALA CORRUPCIÃ“N - La FiscalÃ_a de Guatemala presenta una acusaciÃ_n por el caso ""CooptaciÃ_n del Estado"" â€_",
Guatemala,#apimousen eres mas alto que api saludos desde Guatemala :V,
Guatemala,RT @prensa_libre: #Capturado | HondureÃ±o Willian Reynieri Medina Escobar habrÃ_a tenido vÃ_nculos con cartel de los Valle Valle. â–º https://t.â€_,
Guatemala,Franquicias de Costa Rica buscan inversionistas en Guatemala https://t.co/WbqpFgjccY #news,http://ift.tt/2mURmH6
Guatemala,RT @lulu01_te: @wingasftjpz TT en Guatemala! _Ÿ™Œ_Ÿ™Œ #VideosCortosJZ https://t.co/PL4VD4meUl,
Guatemala,Deborah Walters kayaked to Guatemala to raise awareness for families living in the Guatemala City dump.  #IWD2017â€_ https://t.co/3unm7DkGpe,https://twitter.com/i/web/status/839245538616717313
Guatemala,Thousands of Protesters in Guatemala Demand President's Resignation https://t.co/gy8ZIseZKB https://t.co/EH2ewTeRYL,http://dlvr.it/NZ2Prq
Guatemala,Thousands of Protesters in Guatemala Demand President's Resignation https://t.co/g2y5PqEbNs https://t.co/a35v5Y512H,http://dlvr.it/NZ2PpC
Guatemala,Thousands of Protesters in Guatemala Demand President's Resignation https://t.co/OVdY3ncB4o https://t.co/kReLo6iELA,http://www.voanews.com/a/thousands-protesters-guatemala-demand-presidents-resignation/3754271.html?utm_source=dlvr.it&utm_medium=twitter
Guatemala,"RT @lebophoo: Off to USA tonight, Guatemala on Sunday, got that email saying I'm going to the jazz fest with @AyibaMagazine I may be brokeâ€_",
Guatemala,"RT @nijhuism: Looking for fixer/translator in Guatemala, for assignment mid-April. Local journo preferred. Thanks for any recommendations.",
Guatemala,Thousands of Protesters in Guatemala Demand President's Resignation https://t.co/vLUcWZfdRp https://t.co/WXInUJgbGt,http://dlvr.it/NZ2Pnr
Guatemala,"#EFENoticias: GUATEMALA CORRUPCIÃ“N - La FiscalÃ_a de Guatemala presenta una acusaciÃ_n por el caso ""CooptaciÃ_n del Eâ€_ https://t.co/wtLXIHnVYb",http://ift.tt/2mUM5Py
Guatemala,"RT @Todoticket: YA A LA VENTA EN TODOS NUESTROS PUNTOS TODOTICKET! Ana Gabriel en Guatemala!  Pilas que estÃ¡n Volando! Â¡TE ESPERAMOS! httâ€_",
Guatemala,Oficina zona viva en Guatemala/Guatemala/Guatemala en Alquiler https://t.co/Cfqeo7z16l,http://premierinmuebles.com/buscar-detalles-info-294635.htm
Guatemala,"RT @nijhuism: Looking for fixer/translator in Guatemala, for assignment mid-April. Local journo preferred. Thanks for any recommendations.",
Guatemala,RT @DiakoniaGuate: El recorrido de la Marcha 8 de Marzo en la Ciudad de Guatemala #NosotrasParamosGt #VamosAlParoGt #MujeresEnHuelgaGt #Sepâ€_,
